guess bags	[471426, 999001, 1799032]	tvguide	[1669898, 3053569, 6068638, 7924610, 12169244, 354548, 7583211, 13220997, 227785, 5151588, 2815747, 1799032, 2902572, 16350598, 16893187, 4341955, 471426, 6001607]	0.6666666666666666	0.1111111111111111	

check systems	[2548812, 2085838]	jet blue	[358222, 486149, 1397869, 1454381, 1755063, 1946559, 2076450, 2293053, 2534930, 2913988, 3347988, 3443382, 3734540, 4015770, 4367142, 5312506, 5405034, 5765523, 6155544, 6254818, 6338359, 6373744, 7516545, 7636348, 9096867, 13765042, 16406169, 406291, 446336, 655300, 701835, 1165150, 1436383, 2272416, 2691712, 3010310, 3071657, 3085753, 4798268, 5265676, 5300843, 5426069, 5984163, 6771352, 7087491, 7260633, 7372312, 7674184, 8677747, 9166866, 9903737, 10514640, 13148953, 13866534, 14943896, 16681201, 17716681, 17793123, 18418792, 23716488, 771812, 774902, 777492, 795842, 1263199, 1455234, 1496028, 1572585, 1588790, 1791551, 2057948, 2070520, 2541542, 2548812, 2796924, 2933643, 2962147, 3524379, 3571953, 4273771, 4375427, 5077000, 5401143, 5536838, 5796914, 6559341, 6850124, 6905497, 7859784, 8125185, 8420556, 10414114, 11480945, 12064521, 12436589, 12721489, 15248621, 15503150, 18409944, 18995391, 19298393, 20407167, 20646957, 23009187, 499111, 828764, 874570, 1817436, 1969842, 2234761, 2235233, 2496228, 2788713, 2901713, 3044936, 3689841, 3911854, 4030903, 4724292, 5715523, 6743950, 7882249, 9646031, 9772434, 10152293, 12130295, 12186762, 12447891, 12903989, 14533999, 15354878, 15980046, 18045013, 737997, 887337, 1146297, 1396707, 1818651, 2051334, 2085838, 2191190, 2191805, 2931643, 2963488, 3047110, 3167363, 5080269, 6425358, 8892265, 9676848, 10659366, 11589626, 13395171, 15611654, 17702091, 19314654, 20248633, 21527786, 23868558, 789864, 1162969, 1700689, 1799032, 2342424, 2529581, 2960476, 3024664, 3026441, 3029144, 3186468, 3462616, 3570296, 4973546, 6394086, 6544654, 6587513, 7343744, 7509306, 8669406, 10128063, 10674585, 11542285, 15953890, 17589285, 18732193, 21056482, 503344, 695974, 2185174, 2632671, 2840868, 3167786, 3191419, 3195271, 3599233, 3680318, 4515359, 4729938, 4775210, 4901565, 5606179, 6005648, 6049843, 6283129, 7216573, 8606876, 8625139, 10072946, 10192555, 11570762, 14047185, 16055908, 16143646, 21380539]	1.0	0.009345794392523364	

mythical son of jord	[7701100, 592433, 3894390]	royal name meaning god's servant	[7701100, 3894390]	0.6666666666666666	1.0	

game house	[2280323, 2519730, 7598682]	gamehouse	[4019003, 4176082, 8935850, 15646292, 1585807, 6614861, 8695517, 10841761, 2941809, 10142104, 2280323, 13149841, 14039765, 18295319, 2901940, 7598682, 24505412, 3463158, 8139591, 15684331, 16732723]	0.6666666666666666	0.09523809523809523	

mythical son of jord	[7701100, 592433, 3894390]	sitarist shankar	[2375775, 3894390, 592433]	0.6666666666666666	0.6666666666666666	

